irradiance,ambient_temperature,module_temperature,humidity,wind_speed,hour,day_of_year,power_output,weather_condition
75.61,11.84,11.91,63.0,2.74,7,8,7.266,cloudy
325.06,13.19,21.85,52.86,1.36,9,8,31.374,cloudy
359.44,14.55,23.01,60.49,2.9,10,8,33.715,cloudy
351.38,14.52,24.83,56.46,0.28,11,8,32.923,cloudy
440.63,16.02,27.98,62.26,1.57,12,8,43.106,cloudy
368.81,18.08,27.33,53.33,2.27,13,8,33.476,cloudy
370.0,20.62,31.54,45.58,0.23,14,8,35.264,cloudy
174.74,15.26,19.63,58.07,1.09,16,8,17.63,cloudy
96.31,18.02,17.99,44.1,3.65,17,8,8.166,cloudy
98.18,11.43,11.65,58.37,3.4,7,9,7.346,cloudy
209.98,10.37,15.79,59.93,1.1,8,9,20.358,cloudy
303.7,14.04,21.66,68.41,1.86,9,9,28.962,cloudy
260.86,14.1,17.38,60.66,5.67,10,9,25.052,cloudy
415.26,18.56,29.54,69.84,1.85,11,9,39.662,cloudy
394.33,18.31,29.28,56.85,1.07,12,9,34.832,cloudy
407.19,14.57,26.15,63.05,0.79,13,9,39.15,cloudy
365.15,16.82,25.4,60.26,2.97,14,9,34.449,cloudy
295.04,18.27,26.2,63.47,1.15,15,9,28.207,cloudy
208.03,14.75,20.22,67.05,0.96,16,9,21.761,cloudy
127.17,13.76,15.31,63.45,2.83,17,9,14.223,cloudy
108.33,9.29,10.49,78.24,2.56,7,10,11.651,cloudy
171.17,13.13,14.83,62.09,4.29,8,10,16.416,cloudy
243.0,10.61,15.93,61.86,2.46,9,10,26.073,cloudy
336.4,15.26,20.81,62.93,5.68,10,10,32.499,cloudy
370.97,15.05,23.5,52.12,3.36,11,10,35.486,cloudy
406.61,15.0,22.92,55.72,5.34,12,10,38.269,cloudy
338.46,17.12,25.93,65.18,1.68,14,10,33.336,cloudy
225.19,16.64,21.52,69.63,2.34,15,10,22.12,cloudy
186.54,18.03,21.67,63.94,2.44,16,10,21.546,cloudy
107.91,19.57,21.26,62.62,1.93,17,10,9.888,cloudy
313.19,13.68,19.92,59.68,3.94,9,11,31.326,cloudy
333.39,15.21,23.94,72.91,1.59,10,11,29.974,cloudy
373.27,16.16,27.0,56.4,0.45,11,11,35.0,cloudy
395.54,19.23,29.75,48.51,1.68,12,11,36.23,cloudy
325.13,16.96,22.73,58.58,4.98,13,11,33.845,cloudy
355.57,17.44,26.86,56.9,1.57,14,11,30.913,cloudy
276.98,19.55,24.11,62.83,4.69,15,11,29.701,cloudy
214.57,20.19,25.05,71.17,1.97,16,11,21.573,cloudy
125.44,9.91,12.17,70.17,1.88,7,12,12.375,cloudy
155.33,11.79,16.0,70.14,0.56,8,12,15.485,cloudy
252.92,15.04,20.26,53.44,2.96,9,12,28.077,cloudy
294.43,13.33,20.63,67.04,1.92,10,12,29.004,cloudy
354.32,14.02,23.24,71.29,1.75,11,12,34.111,cloudy
358.41,15.37,25.92,57.55,0.25,12,12,34.361,cloudy
348.14,17.68,26.63,68.12,1.86,13,12,34.091,cloudy
359.56,16.77,25.8,65.48,2.2,14,12,34.022,cloudy
293.86,13.83,21.95,67.45,0.87,15,12,27.152,cloudy
209.14,13.73,18.97,70.47,1.3,16,12,19.662,cloudy
110.71,15.72,17.3,55.61,2.16,17,12,9.684,cloudy
122.48,8.87,9.87,69.7,3.34,7,13,10.403,cloudy
184.53,11.54,15.36,63.04,2.15,8,13,17.927,cloudy
222.98,13.25,19.18,66.68,0.95,9,13,25.427,cloudy
334.3,16.64,25.65,57.01,1.28,10,13,32.337,cloudy
365.6,14.53,23.18,66.62,2.89,11,13,37.834,cloudy
270.87,14.71,20.55,50.57,2.85,12,13,28.799,cloudy
412.39,14.76,25.5,64.49,2.04,13,13,38.3,cloudy
325.24,16.06,25.56,67.4,0.32,14,13,31.369,cloudy
348.5,21.71,31.66,52.69,0.62,15,13,32.138,cloudy
197.21,16.84,21.33,75.71,1.79,16,13,20.708,cloudy
106.6,16.48,18.8,47.41,1.1,17,13,11.248,cloudy
231.25,9.43,12.9,73.06,4.34,8,14,26.364,cloudy
233.83,11.97,16.55,64.39,3.05,9,14,23.906,cloudy
365.98,12.16,19.39,72.33,4.68,10,14,36.54,cloudy
390.36,14.48,22.84,66.13,4.19,11,14,36.52,cloudy
321.67,15.29,23.58,60.21,1.7,12,14,31.588,cloudy
339.75,16.72,22.57,78.1,5.43,13,14,33.589,cloudy
363.49,16.18,25.52,70.39,1.96,14,14,33.599,cloudy
177.69,14.62,18.46,57.34,1.86,15,14,18.703,cloudy
127.44,18.35,19.87,69.31,2.88,16,14,12.167,cloudy
98.73,15.94,15.43,67.32,4.33,17,14,6.577,cloudy
89.36,9.67,9.44,81.15,3.64,7,15,6.773,cloudy
148.05,11.23,15.0,72.65,0.83,8,15,15.31,cloudy
283.22,9.52,16.07,64.29,2.43,9,15,30.291,cloudy
198.59,12.34,17.67,60.17,0.78,10,15,16.919,cloudy
408.92,18.58,28.42,58.04,3.03,11,15,36.894,cloudy
437.0,14.12,26.24,59.12,1.24,12,15,42.046,cloudy
384.64,12.57,21.93,74.44,2.72,13,15,35.777,cloudy
268.67,18.25,25.44,66.11,1.08,14,15,25.629,cloudy
321.8,16.77,26.09,64.13,0.42,15,15,33.08,cloudy
230.02,16.38,22.39,60.87,1.11,16,15,21.862,cloudy
100.2,14.66,15.58,69.23,2.61,17,15,10.72,cloudy
125.3,12.08,15.74,62.58,0.12,7,16,13.458,cloudy
239.94,11.49,16.29,61.87,2.99,8,16,24.384,cloudy
246.09,11.32,17.46,70.92,1.55,9,16,22.865,cloudy
330.09,13.27,21.54,54.07,2.03,10,16,33.95,cloudy
360.55,14.07,22.04,73.22,3.55,11,16,34.494,cloudy
376.36,17.3,27.18,61.81,1.77,12,16,36.91,cloudy
448.23,15.31,25.54,56.38,4.02,13,16,42.158,cloudy
324.17,14.98,24.37,60.94,0.43,14,16,28.489,cloudy
313.24,13.16,20.56,65.67,2.51,15,16,33.077,cloudy
109.26,14.59,15.8,69.12,2.58,17,16,10.344,cloudy
70.74,7.28,6.56,50.74,3.55,7,17,5.462,cloudy
237.96,10.86,15.91,61.61,2.61,8,17,23.879,cloudy
309.78,10.23,17.16,64.28,2.96,9,17,30.155,cloudy
357.15,12.04,21.28,55.64,1.85,10,17,34.183,cloudy
410.09,14.37,24.36,52.59,2.89,11,17,36.407,cloudy
356.45,12.95,22.96,61.68,0.85,13,17,33.757,cloudy
360.06,16.2,26.17,69.18,1.04,14,17,34.999,cloudy
237.8,13.46,18.08,52.93,3.14,15,17,28.192,cloudy
127.41,14.35,17.99,62.67,0.23,16,17,12.899,cloudy
115.95,16.53,16.08,75.94,4.91,17,17,12.286,cloudy
45.26,8.83,6.69,57.79,4.38,7,18,3.259,cloudy
153.79,9.82,13.43,72.68,1.25,8,18,13.705,cloudy
252.1,10.88,14.88,64.75,4.46,9,18,24.561,cloudy
306.11,13.45,20.51,53.66,2.65,10,18,30.067,cloudy
345.13,12.97,19.69,56.77,4.55,11,18,32.127,cloudy
427.12,13.82,25.43,60.5,1.51,12,18,40.49,cloudy
358.44,9.49,19.71,74.2,0.66,13,18,33.899,cloudy
334.95,18.76,25.17,53.29,4.55,14,18,32.649,cloudy
254.33,19.1,25.8,47.0,1.16,15,18,24.638,cloudy
102.84,12.78,15.67,60.43,0.23,17,18,7.668,cloudy
119.54,9.02,11.8,64.01,1.01,7,19,11.555,cloudy
194.7,11.62,15.5,51.13,2.46,8,19,18.164,cloudy
276.17,12.85,17.33,66.53,4.76,9,19,29.129,cloudy
388.9,15.12,26.07,72.36,0.89,10,19,36.804,cloudy
443.59,12.68,25.39,63.94,0.74,11,19,41.452,cloudy
333.82,16.3,24.72,60.16,2.0,12,19,35.188,cloudy
394.28,13.35,24.34,66.08,1.05,13,19,38.818,cloudy
353.24,15.48,24.44,70.87,2.05,14,19,34.404,cloudy
226.24,15.44,21.04,60.8,1.49,15,19,21.979,cloudy
180.2,17.11,21.92,50.34,0.75,16,19,16.591,cloudy
127.11,14.39,17.27,64.79,1.17,17,19,11.386,cloudy
57.26,7.51,8.81,70.48,0.52,7,20,8.058,cloudy
215.34,14.98,19.05,73.68,2.99,8,20,21.238,cloudy
323.29,14.99,21.3,68.74,4.24,9,20,31.559,cloudy
403.93,15.88,27.31,78.89,0.86,10,20,36.437,cloudy
363.46,11.64,21.06,73.01,1.85,11,20,36.082,cloudy
416.55,14.67,24.79,71.4,2.96,12,20,41.872,cloudy
301.23,13.12,20.91,54.29,1.56,13,20,28.143,cloudy
281.4,19.38,26.21,67.33,2.01,14,20,26.115,cloudy
283.41,17.18,21.41,69.08,5.35,15,20,27.346,cloudy
204.7,12.92,17.12,63.83,2.42,16,20,19.891,cloudy
116.09,14.97,17.61,46.88,1.05,17,20,10.099,cloudy
211.14,11.54,15.49,62.23,2.99,8,21,20.159,cloudy
300.7,14.03,21.91,54.24,1.43,9,21,30.19,cloudy
274.41,13.05,19.07,57.14,2.77,10,21,26.113,cloudy
346.65,16.43,26.36,48.92,0.6,11,21,33.114,cloudy
398.8,14.05,24.03,47.84,2.48,12,21,39.605,cloudy
388.1,16.46,26.73,50.31,1.73,13,21,36.501,cloudy
343.99,16.38,22.45,57.75,5.31,14,21,31.647,cloudy
320.5,15.2,21.67,60.7,3.92,15,21,30.682,cloudy
203.74,15.52,21.17,66.74,0.59,16,21,18.468,cloudy
86.91,10.95,10.63,64.38,3.66,7,22,9.421,cloudy
160.96,9.2,11.53,73.98,3.12,8,22,16.427,cloudy
279.18,11.87,19.66,65.87,0.73,9,22,26.094,cloudy
402.92,8.91,20.14,78.55,1.07,10,22,41.97,cloudy
383.96,13.32,22.13,58.24,3.39,11,22,38.669,cloudy
395.42,17.34,28.36,53.92,1.06,12,22,36.694,cloudy
464.04,15.9,29.68,57.61,0.18,13,22,46.075,cloudy
289.46,17.2,24.12,67.33,2.21,14,22,30.083,cloudy
259.14,17.15,23.25,67.68,2.09,15,22,24.878,cloudy
208.38,17.43,21.07,51.86,3.27,16,22,19.14,cloudy
78.1,13.25,11.94,57.26,4.56,17,22,8.637,cloudy
112.03,16.7,18.59,61.14,1.84,7,23,13.042,cloudy
232.82,10.23,16.14,63.34,1.34,8,23,23.63,cloudy
314.25,8.2,14.48,60.17,3.93,9,23,31.337,cloudy
358.41,11.73,22.05,61.71,0.54,11,23,31.503,cloudy
451.16,11.9,23.05,79.48,2.98,12,23,44.29,cloudy
453.87,16.12,26.28,56.14,4.31,13,23,42.245,cloudy
364.93,9.93,18.16,65.68,3.39,14,23,36.234,cloudy
212.19,17.06,22.36,58.5,1.33,15,23,19.504,cloudy
88.69,12.88,13.91,62.69,2.04,17,23,9.335,cloudy
89.62,11.17,9.62,78.35,5.3,7,24,6.644,cloudy
201.63,12.02,17.62,66.72,0.56,8,24,22.458,cloudy
317.3,15.28,23.34,62.91,1.83,9,24,30.922,cloudy
314.15,11.02,19.27,54.22,1.47,10,24,34.667,cloudy
410.46,15.55,26.47,59.91,1.75,12,24,37.43,cloudy
401.79,14.4,22.51,63.06,4.94,13,24,41.302,cloudy
324.34,17.12,25.53,64.81,1.65,14,24,31.596,cloudy
303.19,17.59,24.87,59.02,2.26,15,24,31.133,cloudy
154.87,17.86,21.09,73.31,1.77,16,24,13.337,cloudy
112.82,13.77,14.49,60.53,3.34,17,24,9.484,cloudy
119.48,4.19,7.12,58.72,0.81,7,25,13.23,cloudy
223.42,12.31,18.82,62.91,0.24,8,25,24.983,cloudy
272.46,8.34,14.62,65.66,2.36,9,25,25.27,cloudy
348.43,9.28,16.92,55.84,3.52,10,25,33.857,cloudy
307.01,15.41,21.82,62.28,3.5,11,25,27.933,cloudy
349.69,13.64,20.31,52.03,4.78,12,25,33.434,cloudy
436.59,14.21,25.74,58.28,1.97,13,25,41.426,cloudy
354.97,14.42,21.29,52.77,4.73,14,25,33.448,cloudy
275.79,16.96,23.51,61.27,2.16,15,25,27.399,cloudy
203.22,13.21,18.67,58.72,0.8,16,25,20.861,cloudy
87.69,14.71,15.03,73.96,2.88,17,25,8.788,cloudy
114.56,9.53,12.15,83.47,1.02,7,26,12.935,cloudy
160.93,7.62,10.95,61.73,1.86,8,26,15.963,cloudy
303.82,10.16,18.45,69.31,1.03,9,26,29.965,cloudy
385.48,11.44,20.88,80.69,2.66,10,26,38.933,cloudy
267.57,12.87,19.23,71.87,2.09,11,26,27.651,cloudy
462.74,14.72,27.6,68.88,1.25,12,26,43.272,cloudy
460.64,15.04,27.92,47.31,1.17,13,26,45.74,cloudy
319.05,13.41,20.6,56.06,2.98,14,26,31.295,cloudy
280.23,17.36,22.98,68.92,3.48,15,26,26.375,cloudy
202.15,14.19,18.46,60.93,2.24,16,26,21.385,cloudy
72.85,16.31,15.86,58.5,3.29,17,26,7.875,cloudy
96.3,9.77,11.33,55.66,1.66,7,27,9.033,cloudy
209.92,12.8,18.22,54.91,1.09,8,27,18.245,cloudy
316.47,11.62,20.78,52.02,0.41,9,27,29.185,cloudy
385.75,16.21,25.04,55.15,3.43,11,27,37.697,cloudy
427.79,14.88,27.23,48.51,0.61,13,27,43.318,cloudy
379.11,16.77,27.98,72.27,0.2,14,27,35.67,cloudy
228.19,18.96,24.74,48.56,1.33,16,27,21.604,cloudy
93.16,13.25,15.14,58.83,1.14,17,27,11.243,cloudy
106.44,11.68,12.09,73.41,3.47,7,28,11.678,cloudy
238.47,11.79,15.4,74.67,4.43,8,28,25.383,cloudy
278.91,13.31,21.15,83.38,0.67,9,28,28.069,cloudy
332.64,9.17,18.32,51.75,1.04,10,28,33.71,cloudy
430.37,13.82,26.04,63.66,0.87,11,28,40.409,cloudy
260.16,12.03,19.42,57.78,0.52,12,28,26.046,cloudy
369.79,15.95,24.57,67.62,3.1,13,28,36.415,cloudy
400.04,15.22,25.1,72.55,2.65,14,28,39.14,cloudy
305.32,15.45,23.75,63.0,1.07,15,28,30.02,cloudy
234.78,12.48,18.7,61.58,1.03,16,28,23.544,cloudy
72.67,8.51,9.03,67.84,2.08,7,29,10.582,cloudy
242.98,10.82,14.08,66.31,5.04,8,29,24.422,cloudy
408.42,9.46,20.15,55.52,1.95,10,29,40.84,cloudy
347.33,13.1,21.65,65.15,2.34,11,29,34.614,cloudy
382.29,17.59,25.25,55.73,4.75,13,29,35.8,cloudy
367.08,14.24,23.97,52.19,1.6,14,29,36.551,cloudy
302.18,15.73,22.9,63.15,2.38,15,29,27.12,cloudy
83.42,13.69,15.56,60.72,0.79,17,29,7.995,cloudy
215.98,13.26,18.55,66.36,1.49,8,30,20.758,cloudy
212.71,10.54,13.27,76.68,4.57,9,30,22.037,cloudy
400.07,11.67,21.91,65.93,2.19,10,30,38.913,cloudy
400.88,11.97,23.77,70.3,0.28,12,30,39.911,cloudy
346.79,14.25,21.14,68.65,4.39,14,30,35.236,cloudy
302.22,11.38,15.59,67.18,6.07,15,30,33.698,cloudy
198.82,12.59,17.22,52.33,1.66,16,30,20.214,cloudy
82.22,7.29,8.35,60.61,1.75,7,31,9.563,cloudy
210.43,8.6,10.67,62.15,5.3,8,31,22.741,cloudy
275.17,9.9,17.13,60.0,1.28,9,31,27.014,cloudy
374.6,14.56,23.62,69.93,2.73,10,31,35.349,cloudy
289.81,13.29,21.47,64.71,0.65,11,31,30.366,cloudy
356.89,10.53,20.71,68.96,0.66,12,31,33.081,cloudy
358.0,15.31,23.99,59.76,2.58,13,31,33.468,cloudy
375.43,13.27,23.86,69.19,0.84,14,31,34.786,cloudy
327.54,16.19,23.97,57.16,2.56,15,31,30.724,cloudy
243.55,14.6,19.78,56.06,2.66,16,31,23.64,cloudy
109.47,7.04,8.58,73.25,2.18,7,32,10.254,cloudy
230.98,11.7,18.18,69.39,0.56,8,32,22.061,cloudy
257.58,10.18,17.55,61.69,0.45,9,32,23.398,cloudy
364.09,11.06,19.41,62.18,3.22,10,32,36.165,cloudy
457.68,11.62,23.56,61.13,2.25,11,32,45.586,cloudy
420.75,13.97,23.31,57.95,4.1,12,32,43.229,cloudy
435.88,13.23,23.67,66.29,3.31,13,32,43.476,cloudy
346.28,13.41,23.45,62.32,0.44,14,32,34.747,cloudy
326.22,16.8,25.53,58.73,1.32,15,32,33.163,cloudy
174.27,13.5,18.03,58.23,0.87,16,32,17.052,cloudy
82.52,11.71,12.65,65.91,1.92,17,32,6.345,cloudy
217.74,11.48,15.41,77.13,3.25,8,33,22.997,cloudy
255.88,7.62,12.45,79.68,3.55,9,33,24.421,cloudy
378.85,10.23,20.45,64.14,1.43,10,33,36.199,cloudy
449.75,11.51,23.93,58.02,1.35,11,33,41.021,cloudy
420.39,14.55,24.79,80.44,2.97,12,33,43.615,cloudy
444.56,12.73,22.48,57.68,4.48,13,33,43.508,cloudy
244.63,12.31,15.8,76.42,4.81,15,33,22.687,cloudy
157.55,13.87,16.5,62.47,2.63,16,33,17.579,cloudy
76.76,13.75,15.54,62.47,0.65,17,33,7.246,cloudy
118.65,8.69,10.42,77.35,2.29,7,34,13.199,cloudy
227.72,9.42,15.56,66.67,0.86,8,34,22.581,cloudy
368.15,12.06,21.27,67.36,2.3,10,34,36.915,cloudy
364.98,11.55,21.2,57.8,1.63,11,34,37.362,cloudy
369.66,10.76,17.74,73.16,5.14,14,34,37.535,cloudy
350.91,7.3,17.7,81.08,0.15,15,34,37.994,cloudy
205.45,13.93,18.36,56.45,2.17,16,34,22.124,cloudy
122.78,12.83,12.88,70.0,4.54,17,34,14.226,cloudy
230.01,9.82,15.45,71.81,1.58,8,35,24.642,cloudy
280.64,11.0,17.77,61.42,2.06,9,35,27.527,cloudy
361.13,10.27,20.13,56.88,1.21,10,35,35.416,cloudy
364.6,11.72,20.32,58.91,2.93,11,35,35.869,cloudy
361.11,11.22,21.01,68.34,1.3,12,35,35.272,cloudy
362.73,13.01,23.37,56.24,0.65,13,35,36.208,cloudy
399.62,15.77,26.88,77.4,1.09,14,35,40.209,cloudy
336.92,15.22,24.74,52.27,0.73,15,35,36.241,cloudy
27.22,5.87,5.79,68.4,1.12,7,36,4.008,cloudy
225.61,7.74,14.24,59.06,0.33,8,36,20.711,cloudy
368.27,9.31,19.78,82.51,0.72,10,36,36.329,cloudy
447.29,12.22,23.87,59.32,2.21,11,36,44.265,cloudy
447.31,14.89,24.47,61.9,4.79,12,36,46.112,cloudy
407.55,13.66,23.79,72.76,2.61,13,36,38.178,cloudy
348.7,13.02,21.05,52.7,3.04,15,36,34.564,cloudy
178.24,10.84,15.34,55.8,1.06,16,36,16.14,cloudy
108.16,14.09,15.04,70.7,2.87,17,36,9.73,cloudy
177.56,3.76,5.26,61.5,4.78,8,37,20.573,cloudy
393.55,9.91,18.81,59.13,3.63,10,37,37.659,cloudy
426.13,8.49,18.68,69.94,3.25,11,37,40.886,cloudy
438.74,11.81,23.54,74.28,1.79,12,37,42.942,cloudy
419.55,12.24,23.2,64.49,2.03,13,37,38.692,cloudy
394.0,13.35,22.04,59.66,3.92,14,37,38.522,cloudy
49.47,12.87,12.93,58.23,1.77,17,37,5.139,cloudy
371.57,11.38,21.97,60.28,0.7,10,38,33.308,cloudy
336.02,11.08,20.47,72.19,0.86,11,38,33.257,cloudy
461.67,12.68,22.43,59.13,5.12,13,38,45.273,cloudy
401.15,10.98,21.79,57.18,1.53,14,38,38.57,cloudy
184.54,15.67,19.21,58.63,2.49,16,38,15.449,cloudy
125.8,5.45,8.05,69.08,1.48,7,39,13.782,cloudy
186.42,7.19,11.15,67.6,2.03,8,39,19.395,cloudy
308.08,6.06,13.34,64.09,2.45,9,39,28.881,cloudy
366.38,10.32,19.37,61.08,2.42,10,39,36.665,cloudy
450.35,13.03,23.85,76.53,3.35,11,39,43.537,cloudy
468.1,11.71,24.8,65.96,1.2,12,39,44.867,cloudy
373.85,15.8,26.25,63.83,0.96,14,39,37.21,cloudy
275.08,14.86,20.61,63.66,3.13,15,39,28.394,cloudy
242.72,8.71,15.16,83.32,1.04,16,39,21.778,cloudy
216.54,2.39,6.41,66.0,3.1,8,40,21.87,cloudy
315.09,10.02,18.28,67.64,1.5,9,40,30.662,cloudy
302.91,8.5,14.91,63.51,3.36,10,40,29.422,cloudy
438.56,12.97,25.64,58.16,0.61,11,40,45.872,cloudy
328.8,12.32,20.82,49.07,1.7,12,40,34.561,cloudy
468.29,13.14,26.13,53.69,1.32,13,40,44.08,cloudy
353.13,12.42,22.23,68.0,0.98,15,40,34.156,cloudy
226.71,10.68,15.03,80.02,3.07,16,40,22.857,cloudy
123.66,10.08,12.79,61.31,1.25,17,40,12.898,cloudy
125.16,7.12,7.06,61.76,4.77,7,41,12.951,cloudy
339.89,6.91,15.62,59.22,1.87,9,41,36.023,cloudy
452.95,13.22,25.49,66.92,1.64,11,41,43.403,cloudy
454.37,11.26,21.93,77.82,3.7,13,41,43.462,cloudy
260.99,13.47,20.25,71.51,1.31,14,41,24.469,cloudy
347.55,13.49,21.2,64.49,3.39,15,41,36.856,cloudy
217.88,11.31,14.57,69.47,4.1,16,41,22.74,cloudy
125.56,14.39,15.87,70.39,2.86,17,41,14.383,cloudy
124.69,4.93,5.95,53.88,3.39,7,42,13.574,cloudy
227.2,7.53,12.21,63.01,2.66,8,42,22.412,cloudy
378.79,8.73,19.0,58.16,1.36,10,42,36.763,cloudy
447.65,9.46,22.46,60.92,0.53,11,42,41.67,cloudy
467.53,14.1,27.58,59.88,0.68,13,42,43.153,cloudy
406.63,13.16,24.67,67.13,0.86,14,42,40.269,cloudy
122.44,6.11,7.28,58.46,3.13,7,43,13.301,cloudy
297.53,10.7,18.58,65.69,1.31,9,43,26.782,cloudy
309.56,10.77,19.36,75.3,0.87,11,43,31.983,cloudy
434.97,10.53,22.88,71.95,0.88,13,43,43.665,cloudy
193.61,13.78,19.26,71.22,0.42,16,43,18.892,cloudy
97.74,7.12,8.17,63.26,2.35,7,44,8.687,cloudy
242.33,10.64,17.54,77.2,0.46,9,44,22.652,cloudy
420.08,7.71,17.74,65.72,3.22,10,44,41.449,cloudy
415.54,13.94,26.05,39.72,0.44,11,44,39.711,cloudy
386.28,11.97,22.03,68.13,1.92,12,44,34.487,cloudy
246.43,11.62,18.42,49.98,0.73,16,44,21.77,cloudy
95.09,8.24,8.01,72.41,3.85,17,44,11.007,cloudy
126.09,6.99,10.1,57.39,0.83,7,45,14.344,cloudy
317.5,10.92,19.77,69.94,0.84,9,45,27.407,cloudy
415.51,8.31,19.58,65.98,1.5,10,45,40.772,cloudy
437.13,14.41,25.12,77.19,3.0,12,45,40.017,cloudy
313.05,10.38,17.96,54.85,2.27,15,45,29.648,cloudy
181.93,15.6,18.06,65.79,3.75,16,45,16.953,cloudy
115.84,9.96,12.46,69.41,1.22,17,45,14.109,cloudy
119.34,5.28,5.78,83.98,3.86,7,46,10.28,cloudy
335.38,10.24,19.76,60.68,0.68,9,46,34.281,cloudy
452.21,10.11,22.04,54.68,2.05,13,46,45.094,cloudy
363.09,12.93,23.01,71.06,1.01,14,46,32.465,cloudy
294.98,11.35,17.34,55.98,3.58,15,46,29.917,cloudy
229.22,8.86,13.86,60.27,2.34,8,47,21.526,cloudy
