irradiance,ambient_temperature,module_temperature,humidity,wind_speed,hour,day_of_year,power_output,weather_condition
0.0,11.68,8.01,60.56,4.58,19,2,0.0,night_or_low_power
0.0,11.82,10.71,59.04,1.39,20,2,0.0,night_or_low_power
0.0,11.14,9.79,65.52,1.69,21,2,0.0,night_or_low_power
0.0,11.11,9.74,75.57,1.71,22,2,0.0,night_or_low_power
0.0,7.92,6.81,49.64,1.38,23,2,0.0,night_or_low_power
31.47,9.33,7.91,55.86,2.95,0,3,5.19,night_or_low_power
0.0,10.81,7.7,67.23,3.88,1,3,0.0,night_or_low_power
0.0,8.4,4.19,54.67,5.26,3,3,0.0,night_or_low_power
3.13,9.72,7.96,82.55,2.31,4,3,0.0,night_or_low_power
13.06,6.96,4.36,71.37,3.73,5,3,0.0,night_or_low_power
0.0,12.77,7.77,85.61,6.24,6,3,0.0,night_or_low_power
86.07,9.67,8.96,51.98,4.12,7,3,8.097,cloudy
188.46,16.47,20.2,79.27,2.4,8,3,18.092,cloudy
283.17,16.2,22.3,52.22,2.99,9,3,25.963,cloudy
256.93,16.98,20.66,69.52,5.02,10,3,25.918,cloudy
462.84,18.1,31.74,44.44,0.3,11,3,43.529,moderate
283.57,17.69,24.69,64.36,1.88,12,3,27.908,cloudy
418.9,16.62,29.01,65.41,0.22,13,3,39.817,cloudy
386.1,16.48,27.43,59.0,0.78,14,3,37.172,cloudy
282.11,21.7,30.06,49.1,0.13,15,3,29.106,cloudy
195.75,17.9,22.36,59.7,1.76,16,3,19.914,cloudy
70.88,14.67,12.09,65.32,5.89,17,3,4.5,cloudy
9.38,16.9,13.48,53.19,4.63,18,3,0.0,night_or_low_power
0.0,15.34,14.44,61.44,1.13,19,3,0.0,night_or_low_power
4.69,12.7,10.47,63.77,2.97,20,3,0.0,night_or_low_power
37.08,10.27,10.63,68.99,0.94,21,3,2.039,night_or_low_power
0.0,12.33,10.48,51.71,2.32,22,3,0.0,night_or_low_power
0.0,11.72,7.39,59.97,5.41,23,3,0.0,night_or_low_power
0.0,9.51,8.96,67.13,0.69,0,4,0.0,night_or_low_power
13.75,8.51,6.79,62.99,2.66,1,4,0.0,night_or_low_power
0.0,6.63,3.72,58.23,3.65,2,4,0.0,night_or_low_power
0.43,9.33,8.27,73.29,1.33,3,4,0.0,night_or_low_power
0.0,7.6,5.48,74.33,2.64,4,4,0.0,night_or_low_power
0.0,7.12,6.24,72.82,1.09,5,4,0.0,night_or_low_power
62.4,12.95,12.89,61.24,2.41,6,4,6.576,night_or_low_power
89.69,9.84,10.61,63.92,2.41,7,4,9.626,cloudy
207.85,9.4,15.16,75.76,0.59,8,4,22.005,cloudy
223.82,17.11,23.43,68.71,0.49,9,4,24.233,cloudy
345.94,12.21,22.26,74.62,0.41,10,4,34.026,cloudy
358.76,15.95,24.23,63.49,3.11,11,4,32.848,cloudy
340.94,15.34,23.36,67.97,2.75,12,4,31.959,cloudy
435.1,16.58,27.84,67.85,2.24,13,4,41.716,cloudy
317.09,22.65,30.72,71.35,1.8,14,4,32.081,cloudy
195.27,17.82,20.6,43.74,3.85,15,4,20.156,cloudy
138.4,18.25,21.09,62.77,1.64,16,4,12.23,cloudy
86.72,18.31,19.97,69.39,1.18,17,4,7.561,cloudy
0.0,14.4,13.79,72.93,0.77,18,4,0.0,night_or_low_power
0.0,16.64,14.94,58.89,2.13,19,4,0.0,night_or_low_power
36.33,13.95,13.04,66.84,2.49,20,4,3.265,night_or_low_power
24.57,13.41,12.51,69.85,2.05,21,4,1.178,night_or_low_power
0.0,9.25,6.44,75.87,3.51,22,4,0.0,night_or_low_power
3.84,10.55,9.32,68.1,1.68,23,4,0.0,night_or_low_power
9.17,10.46,9.03,63.13,2.14,1,5,0.0,night_or_low_power
0.0,6.95,5.79,75.84,1.45,2,5,0.0,night_or_low_power
0.0,12.27,11.02,74.43,1.56,3,5,0.0,night_or_low_power
24.08,9.38,7.87,74.13,2.79,4,5,2.793,night_or_low_power
37.74,10.05,10.22,67.44,1.2,6,5,1.8,night_or_low_power
92.89,11.73,11.88,60.02,3.29,7,5,10.54,cloudy
144.81,11.78,13.99,58.78,2.66,8,5,13.72,cloudy
243.97,15.66,18.57,71.19,5.52,9,5,25.755,cloudy
361.96,15.51,25.45,72.08,1.14,10,5,37.569,cloudy
390.83,20.46,29.79,62.76,2.99,11,5,35.977,cloudy
292.53,16.5,21.91,64.53,4.2,12,5,27.609,cloudy
377.77,17.62,26.36,63.78,3.25,13,5,37.057,cloudy
303.31,17.16,23.15,71.86,3.9,14,5,27.581,cloudy
264.57,21.6,28.24,66.33,1.63,15,5,25.349,cloudy
173.77,14.47,17.65,60.04,2.54,16,5,16.828,cloudy
169.12,16.76,17.99,66.53,4.81,17,5,16.658,moderate
53.22,16.16,17.35,50.06,0.51,18,5,2.263,night_or_low_power
19.82,12.07,11.34,59.63,1.65,19,5,0.0,night_or_low_power
0.0,18.32,17.46,47.76,1.07,20,5,0.0,night_or_low_power
0.0,9.88,9.05,58.7,1.03,21,5,0.0,night_or_low_power
17.89,10.6,8.97,59.12,2.71,22,5,0.0,night_or_low_power
37.42,12.87,11.85,47.55,2.68,23,5,5.001,night_or_low_power
0.0,7.79,6.42,75.87,1.71,0,6,0.0,night_or_low_power
0.0,8.33,6.39,62.18,2.42,1,6,0.0,night_or_low_power
2.19,7.18,5.62,64.19,2.04,2,6,0.0,night_or_low_power
0.0,7.93,7.6,59.54,0.42,3,6,0.0,night_or_low_power
0.0,10.7,10.1,69.71,0.75,4,6,0.0,night_or_low_power
0.0,8.49,5.85,77.23,3.29,5,6,0.0,night_or_low_power
13.65,5.06,4.73,71.9,0.92,6,6,0.0,night_or_low_power
88.0,11.51,12.8,67.61,1.69,7,6,9.345,cloudy
171.51,12.99,15.85,48.36,2.87,8,6,21.465,cloudy
264.46,14.55,20.36,62.64,2.65,9,6,27.519,cloudy
285.41,15.0,22.56,68.43,1.26,10,6,27.754,cloudy
323.16,14.68,22.66,72.99,2.15,11,6,36.027,cloudy
349.5,16.71,25.88,67.33,1.64,12,6,30.971,cloudy
308.1,21.23,28.92,77.15,1.94,13,6,30.129,cloudy
363.53,17.78,24.38,56.17,5.39,14,6,37.917,cloudy
290.28,19.0,25.33,55.62,2.97,15,6,26.447,cloudy
209.41,15.13,19.86,66.26,1.94,16,6,21.076,cloudy
89.78,15.82,16.76,73.1,2.19,17,6,8.004,cloudy
0.0,13.37,13.2,75.5,0.21,18,6,0.0,night_or_low_power
0.0,9.76,5.95,66.49,4.76,20,6,0.0,night_or_low_power
0.0,12.32,11.08,72.08,1.55,21,6,0.0,night_or_low_power
29.06,11.05,11.6,72.42,0.4,22,6,3.012,night_or_low_power
53.32,9.89,10.19,70.07,1.61,23,6,2.818,night_or_low_power
0.0,3.69,0.3,67.66,4.23,0,7,0.0,night_or_low_power
8.28,3.83,0.95,43.99,3.91,1,7,0.0,night_or_low_power
0.0,7.94,6.24,82.88,2.12,2,7,0.0,night_or_low_power
0.0,7.09,5.63,59.76,1.83,4,7,0.0,night_or_low_power
18.9,8.32,7.53,63.66,1.69,5,7,0.0,night_or_low_power
17.61,8.1,6.34,68.44,2.86,6,7,0.0,night_or_low_power
169.4,8.96,13.11,69.77,1.16,7,7,17.596,moderate
164.8,12.71,16.53,53.16,1.4,8,7,15.725,cloudy
254.21,10.19,15.14,57.49,3.34,9,7,24.368,cloudy
423.15,14.19,26.04,67.61,1.06,10,7,42.233,moderate
408.36,14.91,24.87,58.68,2.86,11,7,38.503,cloudy
331.4,16.99,23.7,48.13,4.03,12,7,34.158,cloudy
399.48,22.31,33.04,53.63,1.56,13,7,36.477,cloudy
275.87,15.74,22.58,62.82,1.8,14,7,28.005,cloudy
318.4,18.35,26.05,48.63,2.32,15,7,30.982,cloudy
196.27,17.48,22.52,75.21,1.05,16,7,19.971,cloudy
131.87,17.36,20.1,71.69,1.52,17,7,13.41,moderate
21.43,14.78,14.98,70.68,0.56,18,7,3.221,night_or_low_power
23.51,16.88,16.89,63.13,0.88,19,7,4.524,night_or_low_power
4.77,14.08,12.63,53.78,1.99,20,7,0.0,night_or_low_power
40.11,12.81,11.84,57.52,2.72,21,7,6.307,night_or_low_power
14.41,7.38,5.62,77.27,2.73,22,7,0.0,night_or_low_power
0.0,9.36,8.35,59.44,1.26,23,7,0.0,night_or_low_power
0.0,7.19,6.17,66.5,1.28,0,8,0.0,night_or_low_power
0.0,5.99,4.85,64.99,1.42,1,8,0.0,night_or_low_power
14.72,6.29,5.04,65.92,2.12,2,8,0.0,night_or_low_power
0.0,7.6,6.91,65.57,0.87,3,8,0.0,night_or_low_power
3.88,9.13,8.86,63.98,0.48,4,8,0.0,night_or_low_power
0.0,10.97,9.08,61.45,2.37,5,8,0.0,night_or_low_power
0.0,11.91,10.85,62.08,1.32,6,8,0.0,night_or_low_power
75.61,11.84,11.91,63.0,2.74,7,8,7.266,cloudy
325.06,13.19,21.85,52.86,1.36,9,8,31.374,cloudy
359.44,14.55,23.01,60.49,2.9,10,8,33.715,cloudy
351.38,14.52,24.83,56.46,0.28,11,8,32.923,cloudy
440.63,16.02,27.98,62.26,1.57,12,8,43.106,cloudy
368.81,18.08,27.33,53.33,2.27,13,8,33.476,cloudy
370.0,20.62,31.54,45.58,0.23,14,8,35.264,cloudy
355.89,17.07,23.74,73.95,5.01,15,8,33.705,moderate
174.74,15.26,19.63,58.07,1.09,16,8,17.63,cloudy
96.31,18.02,17.99,44.1,3.65,17,8,8.166,cloudy
33.89,11.04,9.6,70.98,3.07,18,8,3.14,night_or_low_power
33.73,15.92,12.32,58.9,5.77,19,8,2.128,night_or_low_power
15.38,9.68,9.91,65.1,0.29,20,8,0.0,night_or_low_power
22.06,12.56,11.2,65.28,2.53,21,8,0.0,night_or_low_power
0.0,9.09,7.55,73.27,1.93,22,8,0.0,night_or_low_power
0.0,9.65,9.49,67.37,0.2,23,8,0.0,night_or_low_power
42.6,12.22,12.05,52.57,1.81,0,9,3.332,night_or_low_power
20.11,5.88,5.15,57.05,1.66,1,9,1.578,night_or_low_power
0.0,5.38,4.83,55.35,0.69,2,9,0.0,night_or_low_power
0.0,7.71,6.33,61.82,1.72,3,9,0.0,night_or_low_power
38.52,11.1,10.98,67.39,1.6,4,9,1.101,night_or_low_power
11.38,9.21,8.45,58.63,1.37,5,9,0.0,night_or_low_power
4.55,9.97,8.03,59.36,2.59,6,9,0.0,night_or_low_power
98.18,11.43,11.65,58.37,3.4,7,9,7.346,cloudy
209.98,10.37,15.79,59.93,1.1,8,9,20.358,cloudy
303.7,14.04,21.66,68.41,1.86,9,9,28.962,cloudy
260.86,14.1,17.38,60.66,5.67,10,9,25.052,cloudy
415.26,18.56,29.54,69.84,1.85,11,9,39.662,cloudy
394.33,18.31,29.28,56.85,1.07,12,9,34.832,cloudy
407.19,14.57,26.15,63.05,0.79,13,9,39.15,cloudy
365.15,16.82,25.4,60.26,2.97,14,9,34.449,cloudy
295.04,18.27,26.2,63.47,1.15,15,9,28.207,cloudy
208.03,14.75,20.22,67.05,0.96,16,9,21.761,cloudy
127.17,13.76,15.31,63.45,2.83,17,9,14.223,cloudy
4.18,13.96,13.61,84.72,0.6,18,9,0.0,night_or_low_power
0.0,14.37,12.19,75.21,2.71,19,9,0.0,night_or_low_power
0.0,14.46,13.79,58.66,0.83,20,9,0.0,night_or_low_power
14.75,11.55,11.22,75.11,0.97,21,9,0.0,night_or_low_power
16.94,14.81,14.85,72.77,0.58,22,9,0.0,night_or_low_power
36.28,7.49,7.77,55.87,1.02,23,9,3.653,night_or_low_power
0.0,9.37,5.96,48.63,4.27,0,10,0.0,night_or_low_power
0.0,10.44,9.05,64.02,1.74,2,10,0.0,night_or_low_power
40.61,10.11,10.12,45.4,1.51,3,10,4.021,night_or_low_power
9.41,9.32,6.86,66.62,3.42,4,10,0.0,night_or_low_power
9.89,5.21,3.31,67.82,2.75,5,10,0.0,night_or_low_power
0.0,11.13,7.99,59.91,3.92,6,10,0.0,night_or_low_power
108.33,9.29,10.49,78.24,2.56,7,10,11.651,cloudy
171.17,13.13,14.83,62.09,4.29,8,10,16.416,cloudy
243.0,10.61,15.93,61.86,2.46,9,10,26.073,cloudy
336.4,15.26,20.81,62.93,5.68,10,10,32.499,cloudy
370.97,15.05,23.5,52.12,3.36,11,10,35.486,cloudy
406.61,15.0,22.92,55.72,5.34,12,10,38.269,cloudy
338.46,17.12,25.93,65.18,1.68,14,10,33.336,cloudy
225.19,16.64,21.52,69.63,2.34,15,10,22.12,cloudy
186.54,18.03,21.67,63.94,2.44,16,10,21.546,cloudy
107.91,19.57,21.26,62.62,1.93,17,10,9.888,cloudy
0.0,15.27,13.61,62.19,2.08,18,10,0.0,night_or_low_power
26.61,9.91,9.39,77.33,1.64,19,10,2.529,night_or_low_power
0.0,9.11,7.24,64.42,2.33,20,10,0.0,night_or_low_power
6.29,11.07,10.14,71.87,1.4,21,10,0.0,night_or_low_power
0.0,11.78,8.43,70.74,4.18,22,10,0.0,night_or_low_power
26.62,8.96,7.17,54.62,3.23,23,10,2.367,night_or_low_power
35.97,8.76,7.95,70.97,2.35,0,11,6.252,night_or_low_power
0.0,7.12,6.74,57.53,0.47,1,11,0.0,night_or_low_power
10.02,8.99,8.96,61.12,0.41,2,11,0.0,night_or_low_power
0.0,8.47,6.8,64.4,2.08,3,11,0.0,night_or_low_power
7.1,5.69,5.18,77.11,0.91,4,11,0.0,night_or_low_power
11.3,9.42,7.41,59.69,2.95,5,11,0.0,night_or_low_power
0.0,6.48,6.3,69.39,0.22,6,11,0.0,night_or_low_power
245.74,11.5,18.34,62.99,0.67,8,11,24.777,moderate
313.19,13.68,19.92,59.68,3.94,9,11,31.326,cloudy
333.39,15.21,23.94,72.91,1.59,10,11,29.974,cloudy
373.27,16.16,27.0,56.4,0.45,11,11,35.0,cloudy
395.54,19.23,29.75,48.51,1.68,12,11,36.23,cloudy
325.13,16.96,22.73,58.58,4.98,13,11,33.845,cloudy
355.57,17.44,26.86,56.9,1.57,14,11,30.913,cloudy
276.98,19.55,24.11,62.83,4.69,15,11,29.701,cloudy
214.57,20.19,25.05,71.17,1.97,16,11,21.573,cloudy
37.52,15.56,14.15,60.01,3.18,17,11,0.0,night_or_low_power
0.0,13.54,12.57,66.54,1.21,18,11,0.0,night_or_low_power
0.0,12.43,11.63,63.32,1.01,19,11,0.0,night_or_low_power
19.25,12.97,12.97,67.89,0.71,20,11,0.0,night_or_low_power
69.44,10.36,10.55,57.24,2.36,21,11,6.679,night_or_low_power
7.58,6.07,4.04,66.81,2.82,22,11,0.0,night_or_low_power
0.0,10.77,9.45,72.43,1.65,23,11,0.0,night_or_low_power
0.0,9.21,8.31,59.49,1.12,0,12,0.0,night_or_low_power
16.45,9.37,5.4,64.12,5.58,1,12,0.0,night_or_low_power
0.0,9.59,8.01,64.85,1.98,2,12,0.0,night_or_low_power
27.42,7.46,6.17,54.5,2.63,3,12,3.899,night_or_low_power
6.84,8.1,7.2,71.85,1.38,4,12,0.0,night_or_low_power
0.0,10.38,10.01,60.49,0.47,5,12,0.0,night_or_low_power
0.0,6.98,6.19,66.21,0.98,6,12,0.0,night_or_low_power
125.44,9.91,12.17,70.17,1.88,7,12,12.375,cloudy
155.33,11.79,16.0,70.14,0.56,8,12,15.485,cloudy
252.92,15.04,20.26,53.44,2.96,9,12,28.077,cloudy
294.43,13.33,20.63,67.04,1.92,10,12,29.004,cloudy
354.32,14.02,23.24,71.29,1.75,11,12,34.111,cloudy
358.41,15.37,25.92,57.55,0.25,12,12,34.361,cloudy
348.14,17.68,26.63,68.12,1.86,13,12,34.091,cloudy
359.56,16.77,25.8,65.48,2.2,14,12,34.022,cloudy
293.86,13.83,21.95,67.45,0.87,15,12,27.152,cloudy
209.14,13.73,18.97,70.47,1.3,16,12,19.662,cloudy
110.71,15.72,17.3,55.61,2.16,17,12,9.684,cloudy
0.0,14.75,14.0,55.57,0.94,18,12,0.0,night_or_low_power
0.0,13.26,12.23,73.1,1.28,19,12,0.0,night_or_low_power
0.0,10.97,10.12,62.38,1.06,20,12,0.0,night_or_low_power
0.0,12.19,9.9,52.72,2.86,21,12,0.0,night_or_low_power
1.83,10.14,6.97,63.99,4.04,22,12,0.0,night_or_low_power
0.0,9.04,7.28,64.94,2.21,23,12,0.0,night_or_low_power
1.9,8.16,7.0,68.17,1.52,0,13,0.0,night_or_low_power
0.0,10.12,7.57,62.25,3.18,1,13,0.0,night_or_low_power
0.0,4.7,4.34,81.67,0.45,2,13,0.0,night_or_low_power
16.72,6.08,5.11,59.99,1.83,3,13,0.0,night_or_low_power
0.61,6.75,3.42,51.32,4.19,4,13,0.0,night_or_low_power
0.0,10.73,9.81,53.32,1.14,5,13,0.0,night_or_low_power
0.0,8.5,6.41,60.17,2.62,6,13,0.0,night_or_low_power
122.48,8.87,9.87,69.7,3.34,7,13,10.403,cloudy
184.53,11.54,15.36,63.04,2.15,8,13,17.927,cloudy
222.98,13.25,19.18,66.68,0.95,9,13,25.427,cloudy
334.3,16.64,25.65,57.01,1.28,10,13,32.337,cloudy
365.6,14.53,23.18,66.62,2.89,11,13,37.834,cloudy
270.87,14.71,20.55,50.57,2.85,12,13,28.799,cloudy
412.39,14.76,25.5,64.49,2.04,13,13,38.3,cloudy
325.24,16.06,25.56,67.4,0.32,14,13,31.369,cloudy
348.5,21.71,31.66,52.69,0.62,15,13,32.138,cloudy
197.21,16.84,21.33,75.71,1.79,16,13,20.708,cloudy
106.6,16.48,18.8,47.41,1.1,17,13,11.248,cloudy
6.49,14.25,13.84,69.03,0.75,18,13,0.0,night_or_low_power
0.0,13.32,12.71,70.52,0.76,19,13,0.0,night_or_low_power
11.49,11.58,10.08,67.15,2.31,21,13,0.0,night_or_low_power
11.7,9.95,8.01,58.48,2.87,22,13,0.0,night_or_low_power
52.06,8.25,8.54,68.46,1.59,23,13,6.362,night_or_low_power
18.56,6.56,4.15,65.09,3.7,0,14,0.0,night_or_low_power
18.98,7.61,6.03,66.4,2.69,1,14,0.0,night_or_low_power
17.94,6.76,5.57,62.1,2.16,2,14,0.0,night_or_low_power
0.0,11.03,9.28,60.22,2.19,3,14,0.0,night_or_low_power
0.0,9.37,8.55,59.41,1.02,4,14,0.0,night_or_low_power
0.0,6.71,5.94,71.94,0.96,5,14,0.0,night_or_low_power
17.2,6.76,5.45,80.12,2.28,6,14,0.0,night_or_low_power
127.01,9.5,10.58,83.76,3.42,7,14,12.064,moderate
231.25,9.43,12.9,73.06,4.34,8,14,26.364,cloudy
233.83,11.97,16.55,64.39,3.05,9,14,23.906,cloudy
365.98,12.16,19.39,72.33,4.68,10,14,36.54,cloudy
390.36,14.48,22.84,66.13,4.19,11,14,36.52,cloudy
321.67,15.29,23.58,60.21,1.7,12,14,31.588,cloudy
339.75,16.72,22.57,78.1,5.43,13,14,33.589,cloudy
363.49,16.18,25.52,70.39,1.96,14,14,33.599,cloudy
177.69,14.62,18.46,57.34,1.86,15,14,18.703,cloudy
127.44,18.35,19.87,69.31,2.88,16,14,12.167,cloudy
98.73,15.94,15.43,67.32,4.33,17,14,6.577,cloudy
19.29,13.01,12.65,56.53,1.16,18,14,0.0,night_or_low_power
0.0,11.12,9.56,65.48,1.95,19,14,0.0,night_or_low_power
24.43,8.66,8.04,65.54,1.69,20,14,1.171,night_or_low_power
0.0,7.22,6.52,45.87,0.88,21,14,0.0,night_or_low_power
18.12,11.19,10.8,53.59,1.16,22,14,0.0,night_or_low_power
0.0,9.94,9.21,74.16,0.91,23,14,0.0,night_or_low_power
0.0,5.94,3.72,61.5,2.78,0,15,0.0,night_or_low_power
15.47,9.34,8.5,70.45,1.63,1,15,0.0,night_or_low_power
30.39,7.67,7.44,76.65,1.43,2,15,2.78,night_or_low_power
0.0,7.02,4.97,50.25,2.56,3,15,0.0,night_or_low_power
59.88,8.83,8.54,78.9,2.61,4,15,5.475,night_or_low_power
0.0,9.14,5.79,64.5,4.19,5,15,0.0,night_or_low_power
0.0,9.25,9.0,68.92,0.3,6,15,0.0,night_or_low_power
89.36,9.67,9.44,81.15,3.64,7,15,6.773,cloudy
148.05,11.23,15.0,72.65,0.83,8,15,15.31,cloudy
283.22,9.52,16.07,64.29,2.43,9,15,30.291,cloudy
198.59,12.34,17.67,60.17,0.78,10,15,16.919,cloudy
408.92,18.58,28.42,58.04,3.03,11,15,36.894,cloudy
437.0,14.12,26.24,59.12,1.24,12,15,42.046,cloudy
384.64,12.57,21.93,74.44,2.72,13,15,35.777,cloudy
268.67,18.25,25.44,66.11,1.08,14,15,25.629,cloudy
321.8,16.77,26.09,64.13,0.42,15,15,33.08,cloudy
230.02,16.38,22.39,60.87,1.11,16,15,21.862,cloudy
100.2,14.66,15.58,69.23,2.61,17,15,10.72,cloudy
0.0,15.76,14.48,47.83,1.6,18,15,0.0,night_or_low_power
0.0,15.79,13.18,77.79,3.27,19,15,0.0,night_or_low_power
2.08,10.4,9.04,63.18,1.78,20,15,0.0,night_or_low_power
14.89,11.41,9.98,57.25,2.35,21,15,0.0,night_or_low_power
0.0,11.18,10.77,74.14,0.5,22,15,0.0,night_or_low_power
0.0,6.75,4.65,75.95,2.62,23,15,0.0,night_or_low_power
0.0,9.98,7.16,64.92,3.53,0,16,0.0,night_or_low_power
11.33,8.69,8.79,76.71,0.3,1,16,0.0,night_or_low_power
0.83,3.8,3.31,76.31,0.65,2,16,0.0,night_or_low_power
34.75,9.65,5.9,68.7,5.99,3,16,1.933,night_or_low_power
0.0,4.58,2.76,54.82,2.28,4,16,0.0,night_or_low_power
0.0,6.38,5.08,68.14,1.63,5,16,0.0,night_or_low_power
0.0,10.16,8.98,65.5,1.47,6,16,0.0,night_or_low_power
125.3,12.08,15.74,62.58,0.12,7,16,13.458,cloudy
239.94,11.49,16.29,61.87,2.99,8,16,24.384,cloudy
246.09,11.32,17.46,70.92,1.55,9,16,22.865,cloudy
330.09,13.27,21.54,54.07,2.03,10,16,33.95,cloudy
360.55,14.07,22.04,73.22,3.55,11,16,34.494,cloudy
376.36,17.3,27.18,61.81,1.77,12,16,36.91,cloudy
448.23,15.31,25.54,56.38,4.02,13,16,42.158,cloudy
324.17,14.98,24.37,60.94,0.43,14,16,28.489,cloudy
313.24,13.16,20.56,65.67,2.51,15,16,33.077,cloudy
270.55,14.43,21.53,75.04,1.27,16,16,27.339,moderate
109.26,14.59,15.8,69.12,2.58,17,16,10.344,cloudy
0.6,11.53,10.26,74.26,1.61,18,16,0.0,night_or_low_power
4.95,9.09,5.88,65.4,4.21,19,16,0.0,night_or_low_power
0.0,13.25,10.74,62.34,3.13,20,16,0.0,night_or_low_power
6.16,7.99,7.13,81.26,1.31,21,16,0.0,night_or_low_power
0.0,6.17,5.19,66.12,1.22,22,16,0.0,night_or_low_power
28.6,10.89,9.76,60.72,2.48,23,16,2.49,night_or_low_power
26.1,8.5,7.93,60.97,1.69,0,17,1.21,night_or_low_power
54.15,8.36,8.2,68.6,2.23,1,17,4.25,night_or_low_power
0.0,7.15,4.89,58.11,2.83,2,17,0.0,night_or_low_power
7.22,8.93,6.25,67.45,3.62,3,17,0.0,night_or_low_power
6.17,8.57,7.55,67.45,1.51,4,17,0.0,night_or_low_power
4.99,6.91,6.3,71.62,0.95,5,17,0.0,night_or_low_power
28.25,6.51,3.96,53.07,4.24,6,17,4.486,night_or_low_power
70.74,7.28,6.56,50.74,3.55,7,17,5.462,cloudy
237.96,10.86,15.91,61.61,2.61,8,17,23.879,cloudy
309.78,10.23,17.16,64.28,2.96,9,17,30.155,cloudy
357.15,12.04,21.28,55.64,1.85,10,17,34.183,cloudy
410.09,14.37,24.36,52.59,2.89,11,17,36.407,cloudy
481.91,18.26,28.94,65.24,4.72,12,17,45.711,moderate
356.45,12.95,22.96,61.68,0.85,13,17,33.757,cloudy
360.06,16.2,26.17,69.18,1.04,14,17,34.999,cloudy
237.8,13.46,18.08,52.93,3.14,15,17,28.192,cloudy
127.41,14.35,17.99,62.67,0.23,16,17,12.899,cloudy
115.95,16.53,16.08,75.94,4.91,17,17,12.286,cloudy
36.71,11.94,8.58,62.25,5.57,18,17,2.6,night_or_low_power
10.86,11.9,11.46,59.98,0.96,19,17,0.0,night_or_low_power
20.12,11.42,11.25,72.16,0.97,20,17,1.88,night_or_low_power
7.34,11.25,11.38,74.69,0.1,21,17,0.0,night_or_low_power
14.22,7.54,7.21,61.52,0.95,22,17,0.0,night_or_low_power
0.0,10.12,8.57,60.95,1.94,23,17,0.0,night_or_low_power
7.87,5.77,5.69,74.33,0.39,0,18,0.0,night_or_low_power
0.0,7.13,4.08,69.19,3.8,1,18,0.0,night_or_low_power
0.0,5.61,2.71,70.06,3.62,2,18,0.0,night_or_low_power
5.64,7.64,5.97,68.46,2.3,3,18,0.0,night_or_low_power
0.0,10.71,9.71,64.77,1.26,4,18,0.0,night_or_low_power
0.0,6.9,6.0,74.92,1.12,5,18,0.0,night_or_low_power
0.0,8.46,6.03,77.3,3.03,6,18,0.0,night_or_low_power
